sample_set,layout_name,stratum_column,stratum_value,sample_count,raw_soft_MAE,raw_soft_MSE,raw_soft_regret,hard_top1_MAE,entropy,mean_max_weight,oracle_label_accuracy
staged_diagnostic,spatial_panel_3view,group_name,LOW_HIGH_LOW,52536,0.3992976699904811,1.4203444453501142,0.04041821927163812,0.42694467776256123,1.0290045436769575,0.5663453773389047,0.47980432465357087
staged_diagnostic,spatial_panel_3view,group_name,HIGH_HIGH_LOW,52110,0.3354391839353446,1.728141158487301,0.03176296620720006,0.35781239005064824,1.1295180623971925,0.5149401383564902,0.4502398771828824
staged_diagnostic,spatial_panel_3view,group_name,HIGH_HIGH_HIGH,68735,0.11021646101576728,0.11149358916122949,0.0070640256301697235,0.12297415944166248,1.35219311120367,0.3849205941386749,0.20245871826580344
staged_diagnostic,spatial_panel_3view,group_name,LOW_HIGH_HIGH,38672,0.33521304074507285,0.4598691211676291,0.032917950713349374,0.3535220711570501,0.9537587875179957,0.6038749770819678,0.5453558129913115
staged_diagnostic,spatial_panel_3view,group_name,HIGH_LOW_LOW,12853,0.5111349514691691,4.6009835055204835,0.08954228155354833,0.530134650064044,1.1649973055729352,0.5050488511296197,0.32568271998755155
staged_diagnostic,spatial_panel_3view,group_name,LOW_LOW_LOW,12293,0.4518443937467255,1.09074737044568,0.0735487069909708,0.4646561715414156,1.2060161574779504,0.47994938105245377,0.2974050272512812
staged_diagnostic,spatial_panel_3view,group_name,HIGH_LOW_HIGH,12510,0.27355436930789045,0.20494454199700723,0.03841716713676556,0.2843884208353425,1.0885303268396704,0.5234734659298337,0.3851318944844125
staged_diagnostic,spatial_panel_3view,group_name,LOW_LOW_HIGH,12435,0.15533353180931517,0.35384017152567465,0.021376848416334547,0.16255390760278166,1.3350911547701354,0.3862422607404715,0.1723361479694411
staged_selection,spatial_panel_3view,group_name,HIGH_HIGH_HIGH,62382,0.10875634029024446,0.10987992517014016,0.00734286818733731,0.12060080827915529,1.3538861633065984,0.38384164600865955,0.20520342406463402
staged_selection,spatial_panel_3view,group_name,LOW_HIGH_LOW,56553,0.41892379605330354,2.4297478746372345,0.0471919619601144,0.4441769442067216,1.0243575482100138,0.5723381618412074,0.4812123141124255
staged_selection,spatial_panel_3view,group_name,HIGH_HIGH_LOW,53317,0.3275520278568759,1.3066093351135157,0.03196291956136399,0.3475672044697962,1.1251131172375097,0.5179368786238935,0.45148826828216143
staged_selection,spatial_panel_3view,group_name,LOW_HIGH_HIGH,40027,0.33420907794570315,0.4575387204351529,0.03308878842048987,0.35045481982960586,0.9501833419385509,0.6071769552248615,0.542109076373448
